#atnm  iac  mass  sig           eps           hrd       eln
CH0    13   12    0             0             0         0
CH1    14   3     0             0             0         0
CH2    15   4     0             0             0         0
CH3    16   5     0             0             0         0
CX4    67   12    5.897368E-01  6.108919E-03  6.36747   5.96764
CX3    68   3     4.359802E-01  9.614585E-02  7.92332   5.87687
CX2    69   4     3.897766E-01  4.409797E-01  9.98845   6.33650
CX1    70   5     3.721673E-01  1.098306E+00  12.79086  7.95720
F      71   19    2.743320E-01  6.974601E-01  35.50866  18.71912
Cl     72   35    3.385391E-01  1.437321E+00  24.45097  14.51889
Br     73   80    3.580063E-01  2.025752E+00  22.12592  12.96790
I      74   127   3.823943E-01  2.742903E+00  18.64705  11.34662
